X,Y,OBJECTID,LocationID,Name,Historic_Name,Status,City,County,State,Description,Latitude,Longitude,Lat_WGS84,Long_WGS84,Block_Group
-109.0550,35.3589,1,AZ001,Lupton Route 66 Crossing,,Active,Lupton,Apache,AZ,Eastern entry point of Route 66 into Arizona,35.3589,-109.0550,35.3589,-109.0550,
-109.7869,35.0650,2,AZ002,Painted Desert Inn,,Active,Petrified Forest,Navajo,AZ,CCC-built inn serving Route 66 travelers,35.0650,-109.7869,35.0650,-109.7869,
-109.7869,35.0650,3,AZ003,Petrified Forest Route 66 Segment,,Active,Petrified Forest,Navajo,AZ,Original Route 66 alignment inside national park,35.0650,-109.7869,35.0650,-109.7869,
-110.1580,34.9014,4,AZ004,Wigwam Motel,,Active,Holbrook,Navajo,AZ,Iconic teepee motel tied to Route 66 travel culture,34.9014,-110.1580,34.9014,-110.1580,
-110.1580,34.9020,5,AZ005,Holbrook Historic District,,Active,Holbrook,Navajo,AZ,Historic railroad and Route 66 town,34.9020,-110.1580,34.9020,-110.1580,
-110.3090,34.9545,6,AZ006,Jack Rabbit Trading Post,,Active,Joseph City,Navajo,AZ,Famous Route 66 trading post with billboard history,34.9545,-110.3090,34.9545,-110.3090,
-110.6974,35.0242,7,AZ007,Winslow Historic District,,Active,Winslow,Navajo,AZ,Historic Route 66 and railroad town,35.0242,-110.6974,35.0242,-110.6974,
-110.6974,35.0242,8,AZ008,La Posada Hotel,,Active,Winslow,Navajo,AZ,Harvey House hotel serving Route 66 travelers,35.0242,-110.6974,35.0242,-110.6974,
-111.0920,35.1200,9,AZ009,Two Guns Ghost Town,,Active,Two Guns,Coconino,AZ,Abandoned Route 66 tourist stop,35.1200,-111.0920,35.1200,-111.0920,
-111.0925,35.1210,10,AZ010,Canyon Diablo Bridge,,Active,Two Guns,Coconino,AZ,Early concrete bridge along Route 66,35.1210,-111.0925,35.1210,-111.0925,
-111.3542,35.2317,11,AZ011,Winona Historic Community,,Active,Winona,Coconino,AZ,Historic Route 66 railroad stop,35.2317,-111.3542,35.2317,-111.3542,
-111.6513,35.1983,12,AZ012,Flagstaff Route 66 Historic District,,Active,Flagstaff,Coconino,AZ,Historic alignment through downtown Flagstaff,35.1983,-111.6513,35.1983,-111.6513,
-111.6200,35.2402,13,AZ013,Museum Club,,Active,Flagstaff,Coconino,AZ,Historic Route 66 dance hall and music venue,35.2402,-111.6200,35.2402,-111.6200,
-111.8210,35.2403,14,AZ014,Bellemont Historic Community,,Active,Bellemont,Coconino,AZ,Historic Route 66 railroad settlement,35.2403,-111.8210,35.2403,-111.8210,
-112.4843,35.2240,15,AZ015,Ash Fork Historic District,,Active,Ash Fork,Yavapai,AZ,Stone quarry and Route 66 commerce town,35.2240,-112.4843,35.2240,-112.4843,
-112.1910,35.2494,16,AZ016,Williams Historic Route 66 District,,Active,Williams,Coconino,AZ,Last town bypassed by Interstate 40,35.2494,-112.1910,35.2494,-112.1910,
-112.8774,35.3275,17,AZ017,Seligman Historic District,,Active,Seligman,Yavapai,AZ,Birthplace of Route 66 preservation movement,35.3275,-112.8774,35.3275,-112.8774,
-113.4250,35.5290,18,AZ018,Peach Springs,,Active,Hualapai Reservation,Mohave,AZ,Hualapai tribal community along Route 66,35.5290,-113.4250,35.5290,-113.4250,
-113.7266,35.3697,19,AZ019,Hackberry General Store,,Active,Hackberry,Mohave,AZ,Historic Route 66 store and museum,35.3697,-113.7266,35.3697,-113.7266,
-114.0530,35.1894,20,AZ020,Kingman Historic District,,Active,Kingman,Mohave,AZ,Major Route 66 transportation hub,35.1894,-114.0530,35.1894,-114.0530,
-113.8520,35.1186,21,AZ021,Cool Springs Station,,Active,Kingman,Mohave,AZ,Restored Route 66 gas station of historical significance,35.1186,-113.8520,35.1186,-113.8520,
-113.8670,35.1030,22,AZ022,Sitgreaves Pass,,Active,Black Mountains,Mohave,AZ,Original winding mountain pass of Route 66,35.1030,-113.8670,35.1030,-113.8670,
-114.3830,35.0264,23,AZ023,Oatman Historic District,,Active,Oatman,Mohave,AZ,Historic mining town incorporated into Route 66,35.0264,-114.3830,35.0264,-114.3830,
-114.4869,34.7233,24,AZ024,Topock Route 66 Bridge,,Active,Topock,Mohave,AZ,Western Arizona exit of Route 66,34.7233,-114.4869,34.7233,-114.4869,
-111.5055,35.1689,25,AZ025,Walnut Canyon National Monument,,Active,Flagstaff,Coconino,AZ,Sinagua cliff dwellings preserved in national monument,35.1689,-111.5055,35.1689,-111.5055,
-111.5027,35.0275,26,AZ026,Meteor Crater,,Active,Winslow,Coconino,AZ,Well-preserved meteor impact site,35.0275,-111.5027,35.0275,-111.5027,
-111.8345,34.6116,27,AZ027,Montezuma Castle,,Active,Camp Verde,Yavapai,AZ,Cliff dwelling of the Sinagua people,34.6116,-111.8345,34.6116,-111.8345,
-111.8345,34.6116,28,AZ028,Montezuma Well,,Active,Rimrock,Yavapai,AZ,Ancient Sinagua irrigation site,34.6116,-111.8345,34.6116,-111.8345,
-112.1138,34.7489,29,AZ029,Jerome Historic District,,Active,Jerome,Yavapai,AZ,Historic copper mining town,34.7489,-112.1138,34.7489,-112.1138,
-112.4685,34.5400,30,AZ030,Prescott Courthouse Plaza,,Active,Prescott,Yavapai,AZ,Historic territorial civic center,34.5400,-112.4685,34.5400,-112.4685,
-112.6046,34.7570,31,AZ031,Mingus Mountain Mining Region,,Active,Mingus Mountain,Yavapai,AZ,Historic mining region,34.7570,-112.6046,34.7570,-112.6046,
-112.0970,33.4484,32,AZ032,Arizona State Capitol,,Active,Phoenix,Maricopa,AZ,Historic government building,33.4484,-112.0970,33.4484,-112.0970,
-112.0738,33.4484,33,AZ033,Heritage Square,,Active,Phoenix,Maricopa,AZ,Victorian-era preserved homes,33.4484,-112.0738,33.4484,-112.0738,
-111.9510,33.4942,34,AZ034,Papago Park Cultural Sites,,Active,Phoenix,Maricopa,AZ,Historic archaeological desert park,33.4942,-111.9510,33.4942,-111.9510,
-111.0000,32.1066,35,AZ035,San Xavier del Bac Mission,,Active,Tucson,Pima,AZ,Historic Spanish mission,32.1066,-111.0000,32.1066,-111.0000,
-110.9747,32.2226,36,AZ036,Presidio San Agustin del Tucson,,Active,Tucson,Pima,AZ,Spanish colonial fort reconstruction,32.2226,-110.9747,32.2226,-110.9747,
-110.9265,32.2217,37,AZ037,Tucson Barrio Historico,,Active,Tucson,Pima,AZ,Historic adobe neighborhood,32.2217,-110.9265,32.2217,-110.9265,
-110.0678,31.7129,38,AZ038,Tombstone Historic District,,Active,Tombstone,Cochise,AZ,Old West historic town,31.7129,-110.0678,31.7129,-110.0678,
-109.9284,31.4482,39,AZ039,Bisbee Historic District,,Active,Bisbee,Cochise,AZ,Historic mining town,31.4482,-109.9284,31.4482,-109.9284,
-110.3473,31.5455,40,AZ040,Fort Huachuca,,Active,Sierra Vista,Cochise,AZ,Historic U.S. Army installation,31.5455,-110.3473,31.5455,-110.3473,
-114.6150,32.6927,41,AZ041,Yuma Territorial Prison,,Active,Yuma,Yuma,AZ,Historic territorial prison,32.6927,-114.6150,32.6927,-114.6150,
-114.6277,32.6927,42,AZ042,Yuma Crossing Historic District,,Active,Yuma,Yuma,AZ,Historic Colorado River crossing settlement,32.6927,-114.6277,32.6927,-114.6277,